CompanyName	Value(1000s)	Shares	OrderType
BLUE NILE INC	37316	918444	Market
BLUEBIRD BIO INC	111874	1813191	Market
BLUELINX HLDGS INC	5	723	Market
BLUEPRINT MEDICINES CORP	28758	1025225	Market
BLUEROCK RESIDENTIAL GRW REI	8875	646880	Market
BMC STK HLDGS INC	32085	1645360	Market
BNC BANCORP	39097	1225609	Market
BOB EVANS FARMS INC	82945	1558824	Market
BOEING CO	1441538	9259623	Market
BOFI HLDG INC	129160	4523996	Market
BOINGO WIRELESS INC	15969	1310021	Market
BOISE CASCADE CO DEL	70553	3135688	Market
BOJANGLES INC	5554	297821	Market
BOK FINL CORP	25051	301676	Market
BON-TON STORES INC	52	35117	Market
BONANZA CREEK ENERGY INC	176	172757	Market
BOOT BARN HLDGS INC	5539	442405	Market
BOOZ ALLEN HAMILTON HLDG COR	47718	1322937	Market
BORGWARNER INC	145914	3699633	Market
BOSTON BEER INC	89677	527975	Market
BOSTON PRIVATE FINL HLDGS IN	108790	6573421	Market
BOSTON PROPERTIES INC	592899	4713777	Market
BOSTON SCIENTIFIC CORP	479050	22147488	Market
